MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A

Data Acquisition						Time:	10.012695	s	2/4/2020 9:51:25 AM
Axial Displacement	Axial Force	Time	Axial Extensometer
mm	N	s	mm
0.00043809414	306.98334	0.020507813	0.00099345017
0.00052303076	307.09558	0.030273438	0.0011144725
0.0011466444	310.89468	0.040039063	0.0010351014
0.00072643161	318.49252	0.049804688	0.0010874685
0.0020474195	331.61252	0.059570313	0.0011817954
0.0012874603	345.90555	0.069335938	0.0012352008
0.0023201108	379.14212	0.079101563	0.0012182074
0.0035583973	439.34537	0.088867188	0.0014401338
0.003965199	529.62146	0.098632813	0.0015596992
0.0066608191	644.55182	0.10839844	0.0019796649
0.0090479851	760.48193	0.11816406	0.0022336945
0.010035932	870.85437	0.12792969	0.002564234
0.011350214	982.18256	0.13769531	0.0030019921
0.013965368	1094.6554	0.14746094	0.0033219887
0.015402585	1217.4255	0.15722656	0.0036145218
0.017541647	1324.755	0.16699219	0.0039191167
0.019311905	1427.0996	0.17675781	0.0043049105
0.021553785	1527.8195	0.18652344	0.0045191832
0.02245903	1634.1241	0.19628906	0.0049129687
0.024660677	1723.1	0.20605469	0.0052216332
0.026540458	1826.3506	0.21582031	0.0056317882
0.02836436	1923.1062	0.22558594	0.0057640928
0.03047213	2012.6118	0.23535156	0.0060316897
0.031448901	2104.042	0.24511719	0.0063035712
0.032700598	2194.7595	0.25488281	0.0066391639
0.034915656	2285.3875	0.26464844	0.0069799544
0.036104769	2377.0042	0.27441406	0.0072957776
0.036737323	2463.0664	0.28417969	0.0074951719
0.03952682	2557.0083	0.29394531	0.0078366054
0.04138425	2646.7688	0.30371094	0.0080971643
0.04235208	2738.908	0.31347656	0.0084171146
0.043693185	2828.0078	0.32324219	0.0086282529
0.046290457	2921.0586	0.33300781	0.0089228721
0.0459373	3006.9231	0.34277344	0.0092612682
0.049352646	3094.2947	0.35253906	0.009418048
0.050266832	3180.2842	0.36230469	0.009734014
0.053114444	3266.4236	0.37207031	0.0100068
0.054216385	3346.7405	0.38183594	0.010174447
0.053787231	3433.7012	0.39160156	0.010447369
0.057211518	3515.7969	0.40136719	0.010774484
0.059256703	3607.9988	0.41113281	0.010962468
0.060083717	3697.4004	0.42089844	0.011383496
0.060153008	3787.1133	0.43066406	0.011685001
0.063474476	3878.5425	0.44042969	0.011948056
0.064634532	3971.8191	0.45019531	0.012289432
0.067470968	4050.8784	0.45996094	0.012522968
0.068490207	4137.8486	0.46972656	0.012786564
0.069817901	4216.8335	0.47949219	0.013132703
0.071802735	4298.3096	0.48925781	0.013369779
0.072012842	4378.2891	0.49902344	0.01366998
0.074791163	4462.9375	0.50878906	0.013812198
0.074833632	4540.3315	0.51855469	0.014157257
0.076440722	4622.7852	0.52832031	0.014449788
0.079873949	4707.2378	0.53808594	0.01472636
0.079645962	4779.7944	0.54785156	0.014932862
0.082377344	4863.7568	0.55761719	0.015263501
0.083613396	4945.3594	0.56738281	0.015448521
0.085566938	5022.1929	0.57714844	0.01569166
0.086512417	5103.6689	0.58691406	0.01612466
0.089044869	5186.1011	0.59667969	0.016330142
0.090567023	5264.2832	0.60644531	0.016677808
0.091132522	5345.4678	0.61621094	0.016837467
0.092466921	5422.5527	0.62597656	0.017057592
0.093904138	5506.0815	0.63574219	0.017341154
0.095969439	5583.063	0.64550781	0.017645577
0.097943097	5671.7573	0.65527344	0.017987074
0.099588186	5757.1641	0.66503906	0.018304599
0.10079071	5840.5698	0.67480469	0.018546619
0.10372102	5922.9893	0.68457031	0.018910857
0.10437369	6009.9351	0.69433594	0.019062061
0.10699555	6089.6484	0.70410156	0.019400958
0.1083903	6168.2686	0.71386719	0.01965653
0.11068135	6245.1074	0.72363281	0.01995278
0.11068806	6329.2207	0.73339844	0.020336928
0.11360049	6403.6455	0.74316406	0.02053432
0.1145795	6483.8398	0.75292969	0.020833217
0.11596978	6558.1299	0.76269531	0.021098761
0.11809096	6633.7544	0.77246094	0.021444838
0.11951029	6706.2354	0.78222656	0.021630723
0.12108609	6788.3892	0.79199219	0.02192123
0.12181923	6859.5132	0.80175781	0.022282863
0.12366995	6937.7842	0.81152344	0.022521816
0.12545139	7009.0381	0.82128906	0.022794843
0.12715459	7085.3032	0.83105469	0.02309327
0.12788773	7162.3906	0.84082031	0.023413988
0.13097227	7240.6489	0.85058594	0.023691574
0.13214573	7322.498	0.86035156	0.02397427
0.13385341	7407.751	0.87011719	0.024323858
0.13548508	7479.8354	0.87988281	0.024650965
0.13808459	7565.4453	0.88964844	0.024938369
0.13825223	7641.0688	0.89941406	0.025297388
0.14035776	7731.1416	0.90917969	0.025569022
0.14194474	7815.5308	0.91894531	0.025917703
0.14477894	7911.6162	0.92871094	0.026281703
0.14694929	7999.0581	0.93847656	0.026628174
0.14955997	8087.7656	0.94824219	0.026957296
0.1508832	8172.8677	0.95800781	0.027311923
0.15158281	8256.9941	0.96777344	0.027596489
0.15457794	8341.5176	0.97753906	0.028039897
0.15658066	8424.7021	0.98730469	0.028410725
0.15907288	8508.6426	0.99707031	0.0287678
0.1608029	8591.2314	1.0068359	0.029135916
0.16231835	8670.1162	1.0166016	0.029415499
0.16442388	8752.7822	1.0263672	0.029756483
0.16584769	8824.3867	1.0361328	0.030140445
0.16873553	8900.9805	1.0458984	0.030365774
0.1704812	8971.668	1.0556641	0.030730108
0.17170832	9041.6807	1.0654297	0.031108376
0.17291978	9105.0732	1.0751953	0.031379599
0.17534494	9169.5898	1.0849609	0.031691581
0.176543	9233.0498	1.0947266	0.031984884
0.1783669	9294.9766	1.1044922	0.032243345
0.17965883	9352.6104	1.1142578	0.032575432
0.18150061	9407.6396	1.1240234	0.032814499
0.18315017	9459.9404	1.1337891	0.033083212
0.18473938	9516.6279	1.1435547	0.033348981
0.18459857	9576.0352	1.1533203	0.033631608
0.18704385	9635.292	1.1630859	0.033908051
0.18845424	9694.0195	1.1728516	0.034190878
0.19025132	9760.1553	1.1826172	0.034402337
0.19211769	9817.6787	1.1923828	0.03476803
0.19445568	9877.7109	1.2021484	0.035096586
0.19587278	9940.8574	1.2119141	0.035432938
0.19714683	9997.6465	1.2216797	0.035639141
0.19820631	10050.724	1.2314453	0.035993647
0.20052195	10117.272	1.2412109	0.036265943
0.20129979	10173.466	1.2509766	0.036597863
0.20296946	10227.896	1.2607422	0.036773324
0.20477325	10281.07	1.2705078	0.037045408
0.20618811	10338.372	1.2802734	0.037355371
0.20778179	10399.332	1.2900391	0.037680689
0.20939112	10459.052	1.2998047	0.037944082
0.21081492	10513.589	1.3095703	0.038288422
0.2134569	10566.337	1.3193359	0.038641214
0.21537021	10622.108	1.3291016	0.038981881
0.21637157	10689.318	1.3388672	0.039280817
0.21776631	10746.831	1.3486328	0.039605632
0.21986514	10803.667	1.3583984	0.039879784
0.2209045	10857.687	1.3681641	0.040263504
0.22327155	10918.599	1.3779297	0.040562
0.22376329	10967.187	1.3876953	0.040777378
0.22601634	11020.596	1.3974609	0.04108236
0.22745356	11073.496	1.4072266	0.041440859
0.23020953	11126.381	1.4169922	0.041790344
0.2315864	11170.824	1.4267578	0.042050965
0.23305044	11219.473	1.4365234	0.042332482
0.23511127	11265.782	1.4462891	0.042673647
0.23549795	11325.067	1.4560547	0.043005615
0.23757443	11371.61	1.4658203	0.043232672
0.23978725	11434.475	1.4755859	0.043685216
0.24168938	11486.385	1.4853516	0.043956496
0.24297014	11536.554	1.4951172	0.044290204
0.24501756	11581.357	1.5048828	0.044593465
0.24535507	11633.554	1.5146484	0.0448981
0.24871901	11672.807	1.5244141	0.045278888
0.24829209	11714.505	1.5341797	0.045515385
0.25165603	11755.201	1.5439453	0.045781802
0.25271103	11801.581	1.5537109	0.046024926
0.25495291	11846.043	1.5634766	0.046409212
0.25575981	11894.879	1.5732422	0.046746556
0.25774688	11944.845	1.5830078	0.047072042
0.25911033	11994.699	1.5927734	0.047440786
0.26101917	12044.956	1.6025391	0.047805283
0.26389807	12089.679	1.6123047	0.048081189
0.26445687	12136.498	1.6220703	0.048440434
0.26683956	12178.072	1.6318359	0.048850548
0.26720837	12212.743	1.6416016	0.049167007
0.26774704	12257.163	1.6513672	0.04939827
