MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A

Data Acquisition						Time:	10.009766	s	2/4/2020 10:16:38 AM
Axial Displacement	Axial Force	Time	Axial Extensometer
mm	N	s	mm
0.0012472272	290.39963	0.018554688	-0.00018542705
0.0016182661	288.3703	0.028320313	-0.00022169552
0.0011242926	284.88297	0.038085938	-0.000169349
0.00089406967	285.37854	0.047851563	-0.0002535042
0.00052303076	290.02155	0.057617188	-0.00017188286
0.001629442	293.0126	0.067382813	-0.00014326833
0.0022016466	307.8418	0.077148438	-0.00010145304
0.0024989247	332.89243	0.086914063	-0.00011558295
0.0025302172	384.702	0.096679688	0.00012358633
0.0047408044	455.21454	0.10644531	0.00034029782
0.0055342913	542.10205	0.11621094	0.00057483301
0.0071413815	635.63989	0.12597656	0.00089885708
0.0094614923	740.61346	0.13574219	0.0012102989
0.011591613	846.7265	0.14550781	0.0015112297
0.013381988	954.85931	0.15527344	0.0018424939
0.0150159	1061.1204	0.16503906	0.0022555618
0.017210841	1176.7323	0.17480469	0.0026144586
0.019548833	1281.5273	0.18457031	0.0029511505
0.020590425	1386.9308	0.19433594	0.0032153747
0.023531914	1488.2157	0.20410156	0.0035556301
0.024229288	1592.6975	0.21386719	0.0039013133
0.026337057	1686.4989	0.22363281	0.0041318717
0.028697401	1781.9569	0.23339844	0.0043888125
0.030246377	1872.8152	0.24316406	0.0048112315
0.032490492	1969.2399	0.25292969	0.0050275414
0.0343211	2052.3564	0.26269531	0.0052843522
0.036084652	2139.804	0.27246094	0.0056202766
0.037200004	2224.2263	0.28222656	0.0057819239
0.038476288	2311.4006	0.29199219	0.0061101723
0.039674342	2390.2134	0.30175781	0.0063320207
0.042276084	2475.2986	0.31152344	0.0066336319
0.043827295	2556.0259	0.32128906	0.0068368465
0.045490265	2643.0471	0.33105469	0.0072180824
0.046625733	2725.6934	0.34082031	0.0074300487
0.048087537	2801.323	0.35058594	0.0076868297
0.049075484	2880.3362	0.36035156	0.0078822654
0.051672757	2962.7351	0.37011719	0.0080997627
0.053986162	3036.5327	0.37988281	0.0084515521
0.053939223	3120.9072	0.38964844	0.0086513711
